"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","updates book with null fields responds with error","","Wed Nov 26 07:46:46 UTC 2025","failed","Wed Nov 26 07:46:47 UTC 2025","","Books API Tests:","",""
"","140","deletes existing book successfully","","Wed Nov 26 07:46:47 UTC 2025","passed","Wed Nov 26 07:46:47 UTC 2025","","Books API Tests:","",""
"","147","retrieves all books within acceptable time","","Wed Nov 26 07:46:42 UTC 2025","passed","Wed Nov 26 07:46:42 UTC 2025","","Books API Tests:","",""
"","139","creates book with empty payload responds with error","","Wed Nov 26 07:46:43 UTC 2025","failed","Wed Nov 26 07:46:44 UTC 2025","","Books API Tests:","",""
"","140","updates non-existing author returns 404","","Wed Nov 26 07:46:50 UTC 2025","failed","Wed Nov 26 07:46:50 UTC 2025","","Authors API Tests:","",""
"","139","updates author using invalid idBook returns error","","Wed Nov 26 07:46:50 UTC 2025","passed","Wed Nov 26 07:46:51 UTC 2025","","Authors API Tests:","",""
"","139","creates author with unexpected extra fields returns error","","Wed Nov 26 07:46:50 UTC 2025","failed","Wed Nov 26 07:46:50 UTC 2025","","Authors API Tests:","",""
"","149","creates book with missing title responds with error","","Wed Nov 26 07:46:43 UTC 2025","failed","Wed Nov 26 07:46:43 UTC 2025","","Books API Tests:","",""
"","405","creates book with extremely long field values responds with error","","Wed Nov 26 07:46:44 UTC 2025","failed","Wed Nov 26 07:46:44 UTC 2025","","Books API Tests:","",""
"","187","retrieves non-existing book ID responds with 404","","Wed Nov 26 07:46:41 UTC 2025","passed","Wed Nov 26 07:46:41 UTC 2025","","Books API Tests:","",""
"","275","updates single field while keeping others unchanged","","Wed Nov 26 07:46:46 UTC 2025","failed","Wed Nov 26 07:46:46 UTC 2025","","Books API Tests:","",""
"","138","updates book with invalid pageCount type responds with error","","Wed Nov 26 07:46:46 UTC 2025","passed","Wed Nov 26 07:46:46 UTC 2025","","Books API Tests:","",""
"","140","deletes book with non-numeric ID responds with 400","","Wed Nov 26 07:46:47 UTC 2025","passed","Wed Nov 26 07:46:48 UTC 2025","","Books API Tests:","",""
